,Year,Sport,Event,Country,Gender,Medal Rank,Medal,Name of Athlete or Team,Age of Athlete
0,1924,Bobsled,Men's Four/Five,Switzerland,Men,1,gold,Switzerland-1,
1,1924,Bobsled,Men's Four/Five,Britain,Men,2,silver,Britain-1,
2,1924,Bobsled,Men's Four/Five,Belgium,Men,3,bronze,Belgium-1,
3,1924,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,1,gold,Thorleif Haug,29.0
4,1924,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,2,silver,Johan GrÃ¸ttumsbraaten,24.0
5,1924,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,3,bronze,Tapani Niku,28.0
6,1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,1,gold,Thorleif Haug,29.0
7,1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,2,silver,Thoralf StrÃ¸mstad,27.0
8,1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,3,bronze,Johan GrÃ¸ttumsbraaten,24.0
9,1924,Curling,Men's Curling,Britain,Men,1,gold,Britain,
10,1924,Curling,Men's Curling,Sweden,Men,2,silver,Sweden,
11,1924,Curling,Men's Curling,France,Men,3,bronze,France,
12,1924,Figure Skating,Men's Singles,Sweden,Men,1,gold,Gillis GrafstrÃ¶m,30.0
13,1924,Figure Skating,Men's Singles,Austria,Men,2,silver,Willy BÃ¶ckl,30.0
14,1924,Figure Skating,Men's Singles,Switzerland,Men,3,bronze,Georges Gautschi,19.0
15,1924,Figure Skating,Mixed Pairs,Austria,Mixed,1,gold,Austria,
16,1924,Figure Skating,Mixed Pairs,Finland,Mixed,2,silver,Finland,
17,1924,Figure Skating,Mixed Pairs,France,Mixed,3,bronze,France-1,
18,1924,Figure Skating,Women's Singles,Austria,Women,1,gold,Herma Planck-Szabo,21.0
19,1924,Figure Skating,Women's Singles,United States,Women,2,silver,Beatrix Loughran,23.0
20,1924,Figure Skating,Women's Singles,Britain,Women,3,bronze,Ethel Muckelt,38.0
21,1924,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada,
22,1924,Ice Hockey,Men's Ice Hockey,United States,Men,2,silver,United States,
23,1924,Ice Hockey,Men's Ice Hockey,Britain,Men,3,bronze,Britain,
24,1924,Biathlon,Men's Military Ski Patrol,Switzerland,Men,1,gold,Switzerland,
25,1924,Biathlon,Men's Military Ski Patrol,Finland,Men,2,silver,Finland,
26,1924,Biathlon,Men's Military Ski Patrol,France,Men,3,bronze,France,
27,1924,Nordic Combined,Men's Individual,Norway,Men,1,gold,Thorleif Haug,29.0
28,1924,Nordic Combined,Men's Individual,Norway,Men,2,silver,Thoralf StrÃ¸mstad,27.0
29,1924,Nordic Combined,Men's Individual,Norway,Men,3,bronze,Johan GrÃ¸ttumsbraaten,24.0
30,1924,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Jacob Tullin Thams,25.0
31,1924,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Narve Bonna,23.0
32,1924,Ski Jumping,"Men's Normal Hill, Individual",United States,Men,3,bronze,Anders Haugen,35.0
33,1924,Speedskating,Men's 500 Meters,United States,Men,1,gold,Charley Jewtraw,23.0
34,1924,Speedskating,Men's 500 Meters,Norway,Men,2,silver,Oskar Olsen,26.0
35,1924,Speedskating,Men's 500 Meters,Norway,Men,3,bronze,Roald Larsen,26.0
36,1924,Speedskating,Men's 500 Meters,Finland,Men,3,bronze,Clas Thunberg,30.0
37,1924,Speedskating,"Men's 1,500 Meters",Finland,Men,1,gold,Clas Thunberg,30.0
38,1924,Speedskating,"Men's 1,500 Meters",Norway,Men,2,silver,Roald Larsen,26.0
39,1924,Speedskating,"Men's 1,500 Meters",Norway,Men,3,bronze,Sigurd Moen,26.0
40,1924,Speedskating,"Men's 5,000 Meters",Finland,Men,1,gold,Clas Thunberg,30.0
41,1924,Speedskating,"Men's 5,000 Meters",Finland,Men,2,silver,Julius Skutnabb,34.0
42,1924,Speedskating,"Men's 5,000 Meters",Norway,Men,3,bronze,Roald Larsen,26.0
43,1924,Speedskating,"Men's 10,000 Meters",Finland,Men,1,gold,Julius Skutnabb,34.0
44,1924,Speedskating,"Men's 10,000 Meters",Finland,Men,2,silver,Clas Thunberg,30.0
45,1924,Speedskating,"Men's 10,000 Meters",Norway,Men,3,bronze,Roald Larsen,26.0
46,1924,Speedskating,Men's Allround,Finland,Men,1,gold,Clas Thunberg,30.0
47,1924,Speedskating,Men's Allround,Norway,Men,2,silver,Roald Larsen,26.0
48,1924,Speedskating,Men's Allround,Finland,Men,3,bronze,Julius Skutnabb,34.0
49,1928,Bobsled,Men's Four/Five,United States,Men,1,gold,United States-2,
50,1928,Bobsled,Men's Four/Five,United States,Men,2,silver,United States-1,
51,1928,Bobsled,Men's Four/Five,Germany,Men,3,bronze,Germany-2,
52,1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,1,gold,Johan GrÃ¸ttumsbraaten,28.0
53,1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,2,silver,Ole Hegge,29.0
54,1928,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,3,bronze,Reidar Ã˜degÃ¥rd,26.0
55,1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,1,gold,Per Erik Hedlund,30.0
56,1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,2,silver,Gustaf Jonsson,24.0
57,1928,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,3,bronze,Volger Andersson,32.0
58,1928,Figure Skating,Men's Singles,Sweden,Men,1,gold,Gillis GrafstrÃ¶m,34.0
59,1928,Figure Skating,Men's Singles,Austria,Men,2,silver,Willy BÃ¶ckl,35.0
60,1928,Figure Skating,Men's Singles,Belgium,Men,3,bronze,Robert Van Zeebroeck,18.0
61,1928,Figure Skating,Mixed Pairs,France,Mixed,1,gold,France,
62,1928,Figure Skating,Mixed Pairs,Austria,Mixed,2,silver,Austria-1,
63,1928,Figure Skating,Mixed Pairs,Austria,Mixed,3,bronze,Austria-2,
64,1928,Figure Skating,Women's Singles,Norway,Women,1,gold,Sonja Henie,15.0
65,1928,Figure Skating,Women's Singles,Austria,Women,2,silver,Fritzi Burger,17.0
66,1928,Figure Skating,Women's Singles,United States,Women,3,bronze,Beatrix Loughran,27.0
67,1928,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada,
68,1928,Ice Hockey,Men's Ice Hockey,Sweden,Men,2,silver,Sweden,
69,1928,Ice Hockey,Men's Ice Hockey,Switzerland,Men,3,bronze,Switzerland,
70,1928,Nordic Combined,Men's Individual,Norway,Men,1,gold,Johan GrÃ¸ttumsbraaten,28.0
71,1928,Nordic Combined,Men's Individual,Norway,Men,2,silver,Hans Vinjarengen,22.0
72,1928,Nordic Combined,Men's Individual,Norway,Men,3,bronze,John Snersrud,25.0
73,1928,Skeleton,Men's Skeleton,United States,Men,1,gold,Jennison Heaton,23.0
74,1928,Skeleton,Men's Skeleton,United States,Men,2,silver,Jack Heaton,19.0
75,1928,Skeleton,Men's Skeleton,Britain,Men,3,bronze,"David, Earl of Northesk",26.0
76,1928,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Alf Andersen,21.0
77,1928,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Sigmund Ruud,20.0
78,1928,Ski Jumping,"Men's Normal Hill, Individual",Czechoslovakia,Men,3,bronze,Rudolf Burkert,23.0
79,1928,Speedskating,Men's 500 Meters,Norway,Men,1,gold,Bernt Evensen,22.0
80,1928,Speedskating,Men's 500 Meters,Finland,Men,1,gold,Clas Thunberg,34.0
